,First_pokemon,Second_pokemon,Winner
231,Mega Abomasnow,Gigalith,Mega Abomasnow
232,Porygon-Z,Groudon,Groudon
233,Kadabra,Shieldon,Kadabra
234,Azelf,Linoone,Azelf
235,Swalot,Duskull,Swalot
236,Rufflet,Goldeen,Goldeen
237,Quagsire,Terrakion,Terrakion
238,Medicham,Kecleon,Medicham
239,Gurdurr,Tentacruel,Tentacruel
240,Gourgeist Average Size,Chatot,Chatot
241,Primal Groudon,Surskit,Primal Groudon
242,Spearow,Fletchinder,Fletchinder
243,Wormadam Plant Cloak,Spheal,Wormadam Plant Cloak
244,Mega Latios,Garchomp,Mega Latios
245,Musharna,Tyrantrum,Tyrantrum
246,Primeape,Graveler,Primeape
247,Hitmontop,Forretress,Hitmontop
248,Mega Venusaur,Omanyte,Mega Venusaur
249,Giratina Origin Form,Aggron,Giratina Origin Form
250,Surskit,Regigigas,Regigigas
251,Umbreon,Starly,Umbreon
252,Panpour,Wingull,Wingull
253,Yanma,Vanillish,Yanma
254,Doduo,Tyrantrum,Doduo
255,Hitmonchan,Axew,Hitmonchan
256,Mr. Mime,Abra,Abra
257,Stoutland,Snorunt,Stoutland
258,Vanillite,Wobbuffet,Vanillite
259,Makuhita,Mewtwo,Mewtwo
260,Weedle,Mega Mewtwo X,Mega Mewtwo X
261,Keldeo Resolute Form,Togepi,Keldeo Resolute Form
262,Vileplume,Dugtrio,Vileplume
263,Slugma,Kricketune,Kricketune
264,Tranquill,Beartic,Tranquill
265,Bergmite,Frogadier,Frogadier
266,Latios,Genesect,Latios
267,Golem,Mega Lucario,Mega Lucario
268,Porygon-Z,Moltres,Moltres
269,Hitmonlee,Diglett,Diglett
270,Grumpig,Gothita,Grumpig
271,Venonat,Rotom,Rotom
272,Wash Rotom,Hoopa Confined,Wash Rotom
273,Tyrantrum,Noctowl,Tyrantrum
274,Seel,Delphox,Delphox
275,Zygarde 50% Form,Monferno,Zygarde 50% Form
276,Vigoroth,Deoxys Speed Form,Deoxys Speed Form
277,Kirlia,Phanpy,Kirlia
278,Mega Tyranitar,Wurmple,Mega Tyranitar
279,Timburr,Scatterbug,Scatterbug
280,Stoutland,Jirachi,Jirachi
281,Silcoon,Zigzagoon,Zigzagoon
282,Dragalge,Scatterbug,Dragalge
283,Unown,Gastly,Gastly
284,Beheeyem,Slowbro,Beheeyem
285,Mega Mewtwo Y,Oddish,Mega Mewtwo Y
286,Tangela,Sylveon,Sylveon
287,Miltank,Aerodactyl,Aerodactyl
288,Mega Steelix,Duosion,Duosion
289,Vigoroth,Mega Gengar,Mega Gengar
290,Hypno,Toxicroak,Toxicroak
291,Roserade,Krookodile,Krookodile
292,Krabby,Golbat,Golbat
293,Fennekin,Excadrill,Excadrill
294,Pignite,Deoxys Defense Form,Deoxys Defense Form
295,Gyarados,Greninja,Greninja
296,Chatot,Swinub,Chatot
297,Chatot,Mega Manectric,Mega Manectric
298,Whiscash,Goldeen,Goldeen
299,Venusaur,Fletchling,Venusaur
300,Skorupi,Farfetch'd,Skorupi
301,Keldeo Ordinary Form,Onix,Keldeo Ordinary Form
302,Gourgeist Super Size,Mega Sceptile,Mega Sceptile
303,Wormadam Plant Cloak,Butterfree,Butterfree
304,Deoxys Speed Form,Lapras,Deoxys Speed Form
305,Delphox,Ivysaur,Delphox
306,Sawsbuck,Heat Rotom,Sawsbuck
307,Kingdra,Spoink,Kingdra
308,Mega Aerodactyl,Piplup,Mega Aerodactyl
309,Kricketot,Mega Beedrill,Mega Beedrill
310,Altaria,Solrock,Altaria
311,Mega Medicham,Aurorus,Mega Medicham
312,Grumpig,Helioptile,Grumpig
313,Bellossom,Electrode,Bellossom
314,Kabuto,Barbaracle,Barbaracle
315,Mega Mewtwo X,Munna,Mega Mewtwo X
316,Croconaw,Vanilluxe,Vanilluxe
317,Infernape,Persian,Persian
318,Krookodile,Staravia,Krookodile
319,Bergmite,Seadra,Seadra
320,Croagunk,Mega Latios,Mega Latios
321,Watchog,Murkrow,Murkrow
322,Zapdos,Cinccino,Cinccino
323,Shuppet,Pidgey,Pidgey
324,Shelgon,Gorebyss,Gorebyss
325,Sharpedo,Prinplup,Sharpedo
326,Mega Salamence,Lombre,Mega Salamence
327,Golem,Purrloin,Purrloin
328,Mega Houndoom,Beldum,Mega Houndoom
329,Totodile,Petilil,Totodile
330,Aurorus,Simisage,Simisage
331,Vileplume,Drifloon,Drifloon
332,Budew,Hypno,Hypno
333,Darkrai,Amaura,Darkrai
334,Mamoswine,Florges,Mamoswine
335,Vespiquen,Dragalge,Dragalge
336,Jolteon,Hoopa Confined,Hoopa Confined
337,Simisage,Jigglypuff,Simisage
338,Purrloin,Skiddo,Purrloin
339,Xatu,Fearow,Fearow
340,Houndour,Bidoof,Houndour
341,Abomasnow,Mega Blaziken,Mega Blaziken
342,Torterra,Ninetales,Ninetales
343,Yveltal,Spinda,Yveltal
344,Ampharos,Malamar,Malamar
345,Shellos,Mega Salamence,Mega Salamence
346,Garbodor,Mega Mewtwo X,Mega Mewtwo X
347,Luxray,Avalugg,Luxray
348,Quagsire,Starly,Starly
349,Dedenne,Blitzle,Dedenne
350,Huntail,Persian,Persian
351,Walrein,Metagross,Metagross
352,Qwilfish,Accelgor,Accelgor
353,Spritzee,Ampharos,Ampharos
354,Musharna,Grotle,Grotle
355,Wooper,Nidoking,Nidoking
356,Nidoran♂,Meloetta Aria Form,Meloetta Aria Form
357,Kakuna,Burmy Plant Cloak,Burmy Plant Cloak
358,Uxie,Gogoat,Uxie
359,Virizion,Carracosta,Virizion
360,Huntail,Metang,Huntail
361,Tangrowth,Magmar,Magmar
362,Pachirisu,Magnemite,Pachirisu
363,Toxicroak,Skorupi,Toxicroak
364,Sewaddle,Vanillite,Vanillite
365,Wormadam Plant Cloak,Ponyta,Ponyta
366,Phione,Mamoswine,Mamoswine
367,Reshiram,Yanmega,Yanmega
368,Caterpie,Mankey,Mankey
369,Bunnelby,Hippowdon,Bunnelby
370,Spinarak,Skarmory,Skarmory
371,Skiddo,Lickitung,Skiddo
372,Ekans,Deoxys Defense Form,Deoxys Defense Form
373,Chespin,Simisear,Simisear
374,Yanma,Mega Lopunny,Mega Lopunny
375,Gible,Nidoqueen,Nidoqueen
376,Primal Groudon,Vulpix,Primal Groudon
377,Sunkern,Mega Swampert,Mega Swampert
378,Honedge,Mega Abomasnow,Mega Abomasnow
379,Mesprit,Kabutops,Kabutops
380,Kabuto,Moltres,Moltres
381,Flabébé,Kakuna,Flabébé
382,Spinarak,Pidove,Pidove
383,Abra,Wingull,Abra
384,Totodile,White Kyurem,White Kyurem
385,Mime Jr.,Marill,Mime Jr.
386,Druddigon,Carnivine,Druddigon
387,Ivysaur,Dwebble,Ivysaur
388,Vivillon,Smeargle,Vivillon
389,Kadabra,Volcanion,Kadabra
390,Rhyhorn,Poliwhirl,Poliwhirl
391,Flabébé,Lilligant,Lilligant
392,Poliwrath,Glalie,Glalie
393,Azelf,Keldeo Ordinary Form,Azelf
394,Crobat,Mega Ampharos,Crobat
395,Munna,Meowth,Meowth
396,Doublade,Ekans,Ekans
397,Tropius,Duosion,Tropius
398,Quagsire,Pyroar,Quagsire
399,Mothim,Durant,Durant
400,Mega Medicham,Jolteon,Jolteon
401,Wormadam Plant Cloak,Vanillite,Vanillite
402,Darumaka,Foongus,Darumaka
403,Gourgeist Small Size,Ledyba,Gourgeist Small Size
404,Houndour,Gurdurr,Gurdurr
405,Fan Rotom,Quilladin,Fan Rotom
406,Diggersby,Gigalith,Gigalith
407,Keldeo Resolute Form,Tentacruel,Keldeo Resolute Form
408,Rhyperior,Florges,Rhyperior
409,Prinplup,Mamoswine,Mamoswine
410,Croconaw,Mega Salamence,Mega Salamence
411,Minccino,Groudon,Groudon
412,Donphan,Mega Diancie,Mega Diancie
413,Shedinja,Lotad,Shedinja
414,Combee,Avalugg,Avalugg
415,Aurorus,Charizard,Charizard
416,Electrode,Pumpkaboo Large Size,Electrode
417,Cranidos,Cherrim,Cherrim
418,Corsola,Fletchinder,Corsola
419,Bouffalant,Togepi,Bouffalant
420,Ho-oh,Pidgey,Ho-oh
421,Flabébé,Bergmite,Flabébé
422,Lopunny,Gligar,Lopunny
423,Simisear,Swampert,Simisear
424,Scraggy,Shaymin Land Form,Shaymin Land Form
425,Braixen,Darmanitan Zen Mode,Braixen
426,Bulbasaur,Accelgor,Accelgor
427,Conkeldurr,Starmie,Conkeldurr
428,Turtwig,Manectric,Manectric
429,Houndour,Budew,Houndour
430,Beedrill,Landorus Incarnate Form,Landorus Incarnate Form
431,Mega Salamence,Combusken,Mega Salamence
432,Mega Gengar,Mega Gyarados,Mega Gengar
433,Nidoqueen,Mega Medicham,Mega Medicham
434,Roserade,Ekans,Roserade
435,Machop,Cubone,Cubone
436,Corphish,Slowbro,Corphish
437,Minccino,Pumpkaboo Super Size,Pumpkaboo Super Size
438,Mienfoo,Avalugg,Mienfoo
439,Ledian,Helioptile,Ledian
440,Roggenrola,Lucario,Lucario
441,Gigalith,Excadrill,Excadrill
442,Talonflame,Bulbasaur,Talonflame
443,Mismagius,Gliscor,Mismagius
444,Spewpa,Beedrill,Beedrill
445,Minccino,Carvanha,Minccino
446,Herdier,Swirlix,Herdier
447,Camerupt,Graveler,Camerupt
448,Registeel,Pumpkaboo Large Size,Registeel
449,Latios,Rapidash,Latios
450,Lilligant,Slowking,Lilligant
451,Mega Sharpedo,Dratini,Mega Sharpedo
452,Chansey,Swoobat,Swoobat
453,Moltres,Weepinbell,Moltres
454,Mega Glalie,Seismitoad,Mega Glalie
455,Taillow,Tornadus Therian Form,Tornadus Therian Form
456,Lumineon,Dustox,Lumineon
457,Clauncher,Golurk,Golurk
458,Jirachi,Hoppip,Jirachi
459,Mantyke,Marill,Mantyke
460,Hypno,Mega Audino,Hypno
461,Darkrai,Mega Absol,Darkrai
462,Shroomish,Golbat,Golbat
463,Tentacruel,Slaking,Slaking
464,Combee,Hoppip,Combee
465,Skuntank,Mega Charizard Y,Mega Charizard Y
466,Cobalion,Oddish,Cobalion
467,Monferno,Heat Rotom,Heat Rotom
468,Machop,Bronzor,Machop
469,Carracosta,Slaking,Slaking
470,Misdreavus,Joltik,Misdreavus
471,Horsea,Darmanitan Zen Mode,Horsea
472,Zorua,Reshiram,Reshiram
473,Mandibuzz,Aron,Mandibuzz
474,Wartortle,Masquerain,Masquerain
475,Stunky,Pidgeotto,Stunky
476,Eelektrik,Cyndaquil,Cyndaquil
477,Azelf,Mega Medicham,Azelf
478,Nidorino,Shiftry,Shiftry
479,Skrelp,Dragalge,Dragalge
480,Empoleon,Bulbasaur,Empoleon
481,Grotle,Pinsir,Pinsir
482,Cobalion,Turtwig,Cobalion
483,Paras,Cradily,Cradily
484,Zapdos,Quilava,Zapdos
485,Amaura,Corphish,Amaura
486,Bergmite,Braviary,Braviary
487,Absol,Smeargle,Smeargle
488,Mega Gardevoir,Skiddo,Mega Gardevoir
489,Mega Gallade,Gible,Mega Gallade
490,Espeon,Mega Pidgeot,Mega Pidgeot
491,Cloyster,Totodile,Cloyster
492,Meowth,Porygon2,Meowth
493,Snubbull,Wurmple,Snubbull
494,Swablu,Petilil,Swablu
495,Salamence,Rotom,Salamence
496,Deerling,Lotad,Deerling
497,Metapod,Slurpuff,Slurpuff
498,Ampharos,Carbink,Ampharos
499,Suicune,Poliwrath,Suicune
500,Patrat,Honedge,Honedge
501,Doublade,Houndoom,Houndoom
502,Mega Gyarados,Krabby,Mega Gyarados
503,Mega Rayquaza,Gorebyss,Mega Rayquaza
504,Cranidos,Wingull,Wingull
505,Azurill,Simisear,Simisear
506,Blissey,Poliwhirl,Poliwhirl
507,Landorus Therian Form,Grotle,Landorus Therian Form
508,Beautifly,Eelektross,Beautifly
509,Mega Heracross,Bidoof,Mega Heracross
510,Horsea,Garchomp,Garchomp
511,Donphan,Kingler,Kingler
512,Abra,Espeon,Espeon
513,Rhyhorn,Minun,Rhyhorn
514,Steelix,Totodile,Totodile
515,Deino,Seel,Seel
516,Axew,Mega Camerupt,Axew
517,Salamence,Stantler,Salamence
518,Flaaffy,Cottonee,Cottonee
519,Mega Gallade,Sableye,Sableye
520,Seadra,Geodude,Seadra
521,Larvesta,Medicham,Medicham
522,Kyogre,Thundurus Incarnate Form,Thundurus Incarnate Form
523,Deoxys Speed Form,Glalie,Deoxys Speed Form
524,Salamence,Baltoy,Salamence
525,Blitzle,Groudon,Groudon
526,Yanmega,Tyranitar,Yanmega
527,Ralts,Zekrom,Zekrom
528,Kecleon,Gible,Gible
529,Emboar,Kadabra,Emboar
530,Giratina Altered Form,Porygon,Porygon
531,Poliwrath,Flygon,Flygon
532,Axew,Talonflame,Talonflame
533,Zorua,Caterpie,Zorua
534,Reuniclus,Plusle,Plusle
535,Swablu,Jirachi,Jirachi
536,Gurdurr,Primal Groudon,Primal Groudon
537,Clawitzer,Probopass,Clawitzer
538,Glalie,Dragonair,Glalie
539,Exeggcute,Lampent,Lampent
540,Girafarig,Flabébé,Girafarig
541,Shelgon,Deerling,Deerling
542,Rhyperior,Krabby,Krabby
543,Scrafty,Litleo,Litleo
544,Espeon,Goldeen,Espeon
545,Golurk,Sawsbuck,Sawsbuck
546,Luvdisc,Latios,Latios
547,Hippowdon,Rufflet,Rufflet
548,Heat Rotom,Quagsire,Heat Rotom
549,Metagross,Tranquill,Metagross
550,Machoke,Torchic,Torchic
551,Wormadam Sandy Cloak,White Kyurem,White Kyurem
552,Luxio,Mega Charizard X,Mega Charizard X
553,Baltoy,Ampharos,Ampharos
554,Cascoon,Snover,Snover
555,Marshtomp,Lanturn,Marshtomp
556,Castform,Volcarona,Volcarona
557,Lombre,Skiddo,Skiddo
558,Gulpin,Avalugg,Gulpin
559,Mega Tyranitar,Pichu,Mega Tyranitar
560,Jigglypuff,Azurill,Azurill
561,Magnemite,Klefki,Klefki
562,Omastar,Magcargo,Omastar
563,Carbink,Elgyem,Carbink
564,Larvitar,Swellow,Swellow
565,Swadloon,Crawdaunt,Crawdaunt
566,Pikachu,Chatot,Chatot
567,Doduo,Spinarak,Doduo
568,Swoobat,Dusclops,Swoobat
569,Lopunny,Grotle,Lopunny
570,Trapinch,Rayquaza,Rayquaza
571,Haunter,Pidgey,Pidgey
572,Pupitar,Spinarak,Pupitar
573,Mantine,Mega Alakazam,Mega Alakazam
574,Squirtle,Weedle,Weedle
575,Electrode,Primal Groudon,Primal Groudon
576,Delibird,Furret,Furret
577,Yanma,Pachirisu,Pachirisu
578,Klefki,Barbaracle,Klefki
579,Natu,Chesnaught,Natu
580,Mega Manectric,Electrode,Electrode
581,Snivy,Staravia,Staravia
582,Uxie,Graveler,Uxie
583,Tangela,Grotle,Tangela
584,Palpitoad,Carracosta,Palpitoad
585,Salamence,Diglett,Salamence
586,Burmy Plant Cloak,Swellow,Swellow
587,Arcanine,Vanillite,Arcanine
588,Roggenrola,Loudred,Loudred
589,Blissey,Wooper,Wooper
590,Hitmonchan,Gible,Hitmonchan
591,Machamp,Glameow,Glameow
592,Nidoran♂,Wingull,Wingull
593,Doublade,Alomomola,Alomomola
594,Roserade,Croconaw,Roserade
595,Crawdaunt,Mantyke,Crawdaunt
596,Noibat,Hoppip,Noibat
597,Darmanitan Zen Mode,Larvitar,Darmanitan Zen Mode
598,Glameow,Dialga,Dialga
599,Primal Groudon,Doublade,Primal Groudon
600,Skitty,Mega Sceptile,Mega Sceptile
601,Kecleon,Articuno,Articuno
602,Aron,Sawsbuck,Sawsbuck
603,Lillipup,Sandslash,Sandslash
604,Slowpoke,Skorupi,Skorupi
605,Murkrow,Torterra,Murkrow
606,Shaymin Land Form,Klefki,Shaymin Land Form
607,Taillow,Camerupt,Taillow
608,Infernape,Trubbish,Infernape
609,Yanma,Glalie,Yanma
610,Blitzle,Eelektross,Blitzle
611,Paras,Trevenant,Trevenant
612,Gible,Registeel,Registeel
613,Magmortar,Unfezant,Unfezant
614,Wartortle,Sylveon,Sylveon
615,Froakie,Mega Manectric,Mega Manectric
616,Mightyena,Vigoroth,Vigoroth
617,Tentacool,Zoroark,Zoroark
618,Torterra,Golem,Torterra
619,Watchog,Venomoth,Venomoth
620,Vigoroth,Aromatisse,Vigoroth
621,Houndour,Golurk,Houndour
622,Larvesta,Slowking,Larvesta
623,Bellsprout,Herdier,Herdier
624,Luxray,Pidgey,Luxray
625,Mr. Mime,Drifloon,Mr. Mime
626,Hippopotas,Slowking,Hippopotas
627,Mega Venusaur,Mega Blastoise,Mega Venusaur
628,Exeggcute,Cleffa,Exeggcute
629,Nidorino,Magmortar,Magmortar
630,Seaking,Pelipper,Seaking
631,Gardevoir,Nidorino,Gardevoir
632,Aegislash Shield Form,Conkeldurr,Conkeldurr
633,Volcarona,Burmy Plant Cloak,Volcarona
634,Zekrom,Shieldon,Zekrom
635,Gengar,Ralts,Gengar
636,Spheal,Swinub,Swinub
637,Nidoqueen,Mega Blastoise,Mega Blastoise
638,Lucario,Marshtomp,Lucario
639,Emolga,Happiny,Emolga
640,Frost Rotom,Igglybuff,Frost Rotom
641,Jolteon,Igglybuff,Jolteon
642,Krabby,Raichu,Raichu
643,Bouffalant,Mega Sharpedo,Mega Sharpedo
644,Pignite,Azelf,Azelf
645,Fearow,Ninetales,Ninetales
646,Torchic,Bayleef,Bayleef
647,Poochyena,Mega Sableye,Mega Sableye
648,Karrablast,Foongus,Karrablast
649,Gothitelle,Absol,Absol
650,Swablu,Mega Heracross,Mega Heracross
651,Slowking,Silcoon,Slowking
652,Simipour,Shuckle,Simipour
653,Meditite,Aggron,Meditite
654,Tentacool,Chimecho,Tentacool
655,Ledian,Clefairy,Ledian
656,Magmar,Giratina Origin Form,Magmar
657,Sunflora,Golurk,Golurk
658,Minccino,Glameow,Glameow
659,Purugly,Braviary,Purugly
660,Blissey,Zubat,Zubat
661,Slowbro,Persian,Persian
662,Gothorita,Deino,Deino
663,Black Kyurem,Machoke,Black Kyurem
664,Zweilous,Grovyle,Grovyle
665,Bronzor,Haunter,Haunter
666,Skuntank,Klink,Klink
667,Chesnaught,Garbodor,Garbodor
668,Camerupt,Hitmontop,Hitmontop
669,Bronzor,Whirlipede,Whirlipede
670,Spearow,Hoopa Confined,Hoopa Confined
671,Venipede,Starmie,Starmie
672,Medicham,Rotom,Rotom
673,Nuzleaf,Noctowl,Noctowl
674,Seedot,Mega Absol,Mega Absol
675,Magby,Grumpig,Magby
