,First_pokemon,Second_pokemon,Winner,win_class
107,Torkoal,Yungoos,Torkoal,Physical
108,Falinks,Koffing,Falinks,Physical
109,Kyurem,Floette,Kyurem,Special
110,Cyndaquil,Electivire,Electivire,Physical
111,Azurill,Sandslash,Azurill,Physical
112,Quilladin,Alolan Vulpix,Quilladin,Special
113,Bronzor,Bounsweet,Bronzor,Special
114,Reshiram,Eelektrik,Reshiram,Physical
115,Seadra,Uxie,Uxie,Physical
116,Sobble,Sentret,Sobble,Special
117,Alolan Sandshrew,Swablu,Alolan Sandshrew,Physical
118,Deerling,Cloyster,Cloyster,Physical
119,Gabite,Lopunny,Gabite,Physical
120,Zigzagoon,Mudkip,Mudkip,Physical
121,Forretress,Liepard,Liepard,Special
122,Shuckle,Wash Rotom,Wash Rotom,Special
123,Kyogre,Florges,Florges,Physical
124,Drednaw,Spectrier,Spectrier,Physical
125,Abomasnow,Marshadow,Marshadow,Physical
126,Bagon,Larvesta,Larvesta,Physical
127,Fletchling,Haxorus,Haxorus,Physical
128,Calyrex,Mega Mewtwo Y,Mega Mewtwo Y,Special
129,Mega Garchomp,Alolan Rattata,Mega Garchomp,Special
130,Liepard,Cloyster,Cloyster,Physical
131,Barboach,Togepi,Togepi,Special
132,Clauncher,Xatu,Clauncher,Special
133,Koffing,Entei,Entei,Physical
134,Tirtouga,Musharna,Musharna,Special
135,Marshtomp,Mega Lucario,Marshtomp,Special
136,Gumshoos,Poliwag,Gumshoos,Physical
137,Omastar,Cacturne,Cacturne,Physical
138,Rufflet,Nickit,Rufflet,Physical
139,Kingdra,Relicanth,Relicanth,Physical
140,Wooper,Kingdra,Kingdra,Physical
141,Anorith,Trubbish,Anorith,Physical
142,Azumarill,Dugtrio,Azumarill,Physical
143,Arrokuda,Flapple,Flapple,Special
144,Hoothoot,Quilava,Quilava,Special
145,Noivern,Camerupt,Noivern,Special
146,Trevenant,Houndour,Trevenant,Physical
147,Bibarel,Genesect,Genesect,Special
148,Ambipom,Vaporeon,Vaporeon,Physical
149,Shellder,Cinccino,Shellder,Special
150,Lucario,Haxorus,Haxorus,Physical
151,Crobat,Dratini,Crobat,Physical
152,Gossifleur,Caterpie,Gossifleur,Physical
153,Lampent,Unfezant,Unfezant,Physical
154,Amaura,Mega Salamence,Mega Salamence,Physical
155,Porygon2,Mareep,Porygon2,Special
156,Silcoon,Chimecho,Silcoon,Special
157,Doublade,Amoonguss,Amoonguss,Special
158,Whismur,Azumarill,Whismur,Special
159,Rayquaza,Nincada,Rayquaza,Special
160,Jigglypuff,Hitmonlee,Hitmonlee,Physical
161,Drakloak,Zapdos,Drakloak,Physical
162,Rookidee,Salamence,Salamence,Special
163,Dreepy,Scyther,Scyther,Physical
164,Donphan,Copperajah,Donphan,Physical
165,Cleffa,Buizel,Buizel,Physical
166,Golbat,Stonjourner,Stonjourner,Physical
167,Togetic,Greninja,Togetic,Special
168,Electabuzz,Seedot,Electabuzz,Physical
169,Sentret,Masquerain,Masquerain,Special
170,Absol,Herdier,Absol,Physical
171,Spheal,Slowking,Slowking,Physical
172,Swoobat,Ralts,Swoobat,Physical
173,Eternatus,Palossand,Eternatus,Physical
174,Bellsprout,Lunala,Lunala,Special
175,Exeggutor,Skiploom,Exeggutor,Physical
176,Magikarp,Clawitzer,Clawitzer,Special
177,Dewpider,Cubchoo,Cubchoo,Physical
178,Feebas,Indeedee Male,Indeedee Male,Special
179,Kricketot,Froakie,Froakie,Physical
180,Naganadel,Morgrem,Naganadel,Physical
181,Alakazam,Bidoof,Alakazam,Physical
182,Skarmory,Raticate,Raticate,Physical
183,Grotle,Tapu Fini,Grotle,Special
184,Chespin,Glaceon,Glaceon,Special
185,Zeraora,Cubchoo,Zeraora,Physical
186,Abomasnow,Nidorina,Abomasnow,Special
187,Gothorita,Exeggutor,Exeggutor,Physical
188,Staraptor,Pincurchin,Staraptor,Physical
189,Arctovish,Vibrava,Arctovish,Physical
190,Grookey,Xerneas,Xerneas,Physical
191,Stakataka,Skuntank,Stakataka,Physical
192,Frost Rotom,Thwackey,Frost Rotom,Special
193,Weepinbell,Tyrogue,Weepinbell,Special
194,Sandshrew,Mawile,Mawile,Special
195,Bellossom,Alolan Meowth,Bellossom,Special
196,Aerodactyl,Accelgor,Aerodactyl,Physical
197,Lairon,Pincurchin,Lairon,Physical
198,Poliwhirl,Gloom,Poliwhirl,Physical
199,Scyther,Crabrawler,Scyther,Physical
200,Octillery,Masquerain,Masquerain,Special
201,Sudowoodo,Toucannon,Sudowoodo,Physical
202,Weezing,Loudred,Loudred,Physical
203,Calyrex,Dottler,Dottler,Special
204,Kangaskhan,Emboar,Kangaskhan,Physical
205,Yungoos,Volbeat,Volbeat,Physical
206,Manectric,Minccino,Manectric,Special
207,Yanmega,Pichu,Yanmega,Physical
208,Lumineon,Heracross,Heracross,Physical
209,Cacturne,Mega Gyarados,Mega Gyarados,Physical
210,Corvisquire,Ducklett,Corvisquire,Special
211,Fan Rotom,Psyduck,Psyduck,Physical
212,Delcatty,Magikarp,Delcatty,Special
213,Mega Salamence,Mega Camerupt,Mega Salamence,Physical
214,Archen,Dwebble,Archen,Physical
215,Applin,Delphox,Delphox,Physical
216,Phione,Eternatus Eternamax,Eternatus Eternamax,Special
217,Meowth,Lopunny,Lopunny,Physical
218,Alolan Geodude,Torkoal,Alolan Geodude,Physical
219,Fraxure,Barbaracle,Barbaracle,Physical
220,Muk,Cleffa,Muk,Physical
221,Slowking,Dratini,Slowking,Physical
222,Spinarak,Lucario,Lucario,Physical
223,Arrokuda,Pikachu,Arrokuda,Physical
224,Conkeldurr,Beldum,Conkeldurr,Physical
225,Gossifleur,Bonsly,Bonsly,Physical
226,Archeops,Seel,Archeops,Special
227,Buzzwole,Buneary,Buzzwole,Physical
228,Hariyama,Copperajah,Hariyama,Physical
229,Lumineon,Rowlet,Lumineon,Physical
230,Mightyena,Mega Gengar,Mega Gengar,Physical
231,Gigalith,Scorbunny,Gigalith,Physical
232,Hitmonchan,Plusle,Hitmonchan,Physical
233,Falinks,Durant,Falinks,Physical
234,Gabite,Alolan Dugtrio,Alolan Dugtrio,Physical
235,Poliwhirl,Nidorina,Poliwhirl,Special
236,Primeape,Spinda,Primeape,Physical
237,Magcargo,Corsola,Corsola,Physical
238,Latios,Litten,Latios,Special
239,Regigigas,Banette,Regigigas,Physical
240,Carvanha,Nosepass,Nosepass,Physical
241,Skitty,Melmetal,Melmetal,Physical
242,Scorbunny,Xurkitree,Xurkitree,Special
243,Patrat,Celebi,Celebi,Special
244,Watchog,Mega Kangaskhan,Mega Kangaskhan,Physical
245,Geodude,Fan Rotom,Geodude,Physical
246,Growlithe,Ultra Necrozma,Ultra Necrozma,Physical
247,Steelix,Spewpa,Steelix,Physical
248,Combee,Obstagoon,Obstagoon,Physical
249,Tsareena,Binacle,Tsareena,Physical
250,Gothita,Bewear,Bewear,Physical
251,Exploud,Kingler,Kingler,Physical
252,Raichu,Tepig,Tepig,Physical
253,Blitzle,Mega Banette,Blitzle,Special
254,Zebstrika,Delcatty,Zebstrika,Physical
255,Minun,Meowstic Male,Minun,Special
256,Dracovish,Azelf,Azelf,Special
257,Polteageist,Golett,Golett,Special
258,Naganadel,Altaria,Naganadel,Physical
259,Illumise,Skuntank,Skuntank,Physical
260,Heat Rotom,Donphan,Donphan,Special
261,Alolan Exeggutor,Rowlet,Alolan Exeggutor,Physical
262,Bronzor,Krokorok,Bronzor,Physical
263,Purrloin,Mega Blaziken,Mega Blaziken,Physical
264,Cinderace,Buneary,Cinderace,Special
265,Spinda,Pawniard,Pawniard,Physical
266,Zorua,Sableye,Sableye,Physical
267,Lampent,Togedemaru,Togedemaru,Physical
268,Grimer,Comfey,Grimer,Special
269,Flygon,Walrein,Walrein,Physical
270,Elgyem,Palkia,Palkia,Physical
271,Gumshoos,Hatterene,Hatterene,Special
272,Arctovish,Heracross,Heracross,Physical
273,Shuckle,Electivire,Electivire,Special
274,Hatenna,Drednaw,Drednaw,Physical
275,Claydol,Cranidos,Cranidos,Physical
276,Pawniard,Dracovish,Dracovish,Physical
277,Stoutland,Seadra,Stoutland,Physical
278,Mega Latios,Hypno,Hypno,Physical
279,Own Tempo Rockruff,Shelgon,Shelgon,Physical
280,Dragonite,Magikarp,Dragonite,Physical
281,Chesnaught,Bellsprout,Chesnaught,Physical
282,Chandelure,Girafarig,Chandelure,Special
283,Skiddo,Venipede,Skiddo,Physical
284,Mega Charizard X,Bellsprout,Mega Charizard X,Physical
285,Raticate,Cramorant,Cramorant,Physical
286,Kabutops,Patrat,Kabutops,Physical
287,Totodile,Mega Beedrill,Mega Beedrill,Special
288,Nidorino,Sandile,Nidorino,Special
289,Mega Sableye,Kricketune,Kricketune,Physical
290,Tentacruel,Drapion,Drapion,Physical
291,Delphox,Amaura,Delphox,Physical
292,Arctozolt,Salandit,Arctozolt,Physical
293,Gligar,Mega Medicham,Gligar,Physical
294,Smoochum,Blitzle,Blitzle,Physical
295,Mega Diancie,Marill,Mega Diancie,Physical
296,Ferrothorn,Boldore,Boldore,Physical
297,Makuhita,Mega Altaria,Mega Altaria,Special
298,Sudowoodo,Carracosta,Sudowoodo,Physical
299,Greedent,Mega Latios,Greedent,Physical
300,Decidueye,Exeggutor,Decidueye,Special
301,Floatzel,Woobat,Floatzel,Special
302,Gliscor,Gorebyss,Gliscor,Physical
303,Magby,Smoochum,Magby,Physical
304,Goldeen,Steenee,Steenee,Physical
305,Polteageist,Meowstic Female,Polteageist,Physical
306,Croconaw,Ninetales,Croconaw,Special
307,Munchlax,Sneasel,Munchlax,Special
308,Mienfoo,Maractus,Mienfoo,Physical
309,Mega Banette,Chesnaught,Mega Banette,Special
310,Shiftry,Obstagoon,Obstagoon,Physical
311,Snom,Mega Alakazam,Mega Alakazam,Physical
312,Mega Absol,Roselia,Mega Absol,Special
313,Mega Ampharos,Meganium,Meganium,Physical
314,Scorbunny,Alolan Sandshrew,Scorbunny,Physical
315,Glalie,Sandygast,Glalie,Physical
316,Raichu,Graveler,Raichu,Physical
317,Gorebyss,Gigalith,Gorebyss,Special
318,Gulpin,Shellos,Shellos,Special
319,Mega Beedrill,Barbaracle,Mega Beedrill,Physical
320,Joltik,Toxicroak,Toxicroak,Physical
321,Ducklett,Primeape,Primeape,Physical
322,Kyogre,Bronzor,Kyogre,Physical
323,Masquerain,Zarude,Masquerain,Special
324,Golisopod,Alakazam,Golisopod,Physical
325,Exeggcute,Frost Rotom,Frost Rotom,Special
326,Drifblim,Snorlax,Snorlax,Physical
327,Roserade,Mightyena,Roserade,Physical
328,Salazzle,Tentacool,Tentacool,Special
329,Pineco,Mega Lopunny,Pineco,Physical
330,Goodra,Piplup,Goodra,Physical
331,Mega Latios,Dewpider,Mega Latios,Physical
332,Rhyperior,Magby,Rhyperior,Physical
333,Venusaur,Empoleon,Empoleon,Special
334,Nidorina,Mega Glalie,Nidorina,Physical
335,Crustle,Ducklett,Ducklett,Special
336,Prinplup,Jumpluff,Prinplup,Physical
337,Pinsir,Weepinbell,Pinsir,Special
338,Cinderace,Blissey,Cinderace,Special
339,Illumise,Feebas,Illumise,Physical
340,Malamar,Skiploom,Malamar,Special
341,Grapploct,Alolan Ninetales,Grapploct,Physical
342,Vigoroth,Musharna,Vigoroth,Physical
343,Pidgey,Scraggy,Scraggy,Physical
344,Whismur,Manectric,Manectric,Physical
345,Banette,Shelmet,Banette,Physical
346,Girafarig,Pawniard,Girafarig,Special
347,Barboach,Axew,Barboach,Special
348,Rhyperior,Squirtle,Rhyperior,Physical
349,Froslass,Marshtomp,Marshtomp,Physical
350,Applin,Mega Pidgeot,Mega Pidgeot,Physical
351,Froakie,Horsea,Horsea,Physical
352,Raboot,Samurott,Samurott,Special
353,Budew,Mandibuzz,Mandibuzz,Physical
354,Komala,Yungoos,Komala,Physical
355,Slugma,Decidueye,Decidueye,Physical
356,Zapdos,Kingdra,Zapdos,Special
357,Carbink,Kartana,Carbink,Special
358,Noctowl,Scrafty,Scrafty,Physical
359,Toxapex,Tympole,Toxapex,Physical
360,Naganadel,Teddiursa,Teddiursa,Physical
361,Flygon,Inkay,Flygon,Physical
362,Whimsicott,Archeops,Whimsicott,Special
363,Zangoose,Toxel,Zangoose,Physical
364,Silcoon,Cobalion,Cobalion,Physical
365,Stonjourner,Rattata,Stonjourner,Special
366,Togekiss,Drampa,Togekiss,Physical
367,Espeon,Shellder,Shellder,Physical
368,Porygon2,Gigalith,Porygon2,Physical
369,Froslass,Abomasnow,Froslass,Physical
370,Foongus,Swablu,Foongus,Physical
371,Mega Sceptile,Blitzle,Blitzle,Physical
372,Mega Pinsir,Abomasnow,Mega Pinsir,Physical
373,Skiddo,Hatterene,Hatterene,Physical
374,Slowpoke,Mega Glalie,Mega Glalie,Physical
375,Eelektrik,Mega Medicham,Mega Medicham,Physical
376,Weavile,Mamoswine,Mamoswine,Physical
377,Torchic,Prinplup,Torchic,Physical
378,Frogadier,Magmortar,Magmortar,Physical
379,Chewtle,Walrein,Walrein,Physical
380,Wurmple,Rockruff,Rockruff,Physical
381,Kabuto,Cubone,Kabuto,Physical
382,Simisear,Drednaw,Drednaw,Physical
383,Calyrex,Carracosta,Carracosta,Special
384,Grookey,Dewott,Dewott,Physical
385,Scyther,Arrokuda,Arrokuda,Physical
386,Accelgor,Bisharp,Bisharp,Physical
387,Emboar,Bronzong,Emboar,Physical
388,Tauros,Swoobat,Tauros,Physical
389,Empoleon,Bisharp,Empoleon,Physical
390,Munchlax,Hoppip,Munchlax,Physical
391,Skwovet,Armaldo,Armaldo,Physical
392,Terrakion,Zapdos,Terrakion,Physical
393,Feraligatr,Houndoom,Feraligatr,Special
394,Cleffa,Staraptor,Staraptor,Special
395,Mareep,Ponyta,Mareep,Physical
396,Jynx,Gardevoir,Jynx,Physical
397,Marill,Mega Banette,Mega Banette,Special
398,Bonsly,Hoopa Unbound,Hoopa Unbound,Physical
399,Phione,Simisage,Simisage,Physical
400,Shellos,Lilligant,Lilligant,Special
401,Spritzee,Seaking,Spritzee,Special
402,Politoed,Mega Scizor,Politoed,Physical
403,Scizor,Fletchinder,Scizor,Physical
404,Rookidee,Luvdisc,Rookidee,Physical
405,Jirachi,Riolu,Riolu,Physical
406,Tyrunt,Gengar,Gengar,Physical
407,Palkia,Vespiquen,Palkia,Physical
408,Arbok,Kangaskhan,Kangaskhan,Physical
409,Lumineon,Stakataka,Lumineon,Physical
410,Espurr,Alolan Marowak,Espurr,Special
411,Amoonguss,Rattata,Rattata,Special
412,Finneon,Arctozolt,Arctozolt,Physical
413,Munna,Machop,Machop,Physical
414,Cradily,Turtonator,Cradily,Physical
415,Golduck,Poliwrath,Poliwrath,Special
416,Piloswine,Meditite,Meditite,Physical
417,Machoke,Honchkrow,Honchkrow,Special
418,Hitmonlee,Palpitoad,Hitmonlee,Physical
419,Bisharp,Lotad,Bisharp,Physical
420,Riolu,Mega Banette,Riolu,Physical
421,Charmeleon,Dragonite,Dragonite,Physical
422,Swellow,Bidoof,Swellow,Physical
423,Drizzile,Teddiursa,Teddiursa,Physical
424,Vullaby,Bewear,Bewear,Physical
425,Mewtwo,Solgaleo,Mewtwo,Special
426,Indeedee Male,Spinarak,Indeedee Male,Physical
427,Poliwhirl,Electabuzz,Poliwhirl,Physical
428,Voltorb,Genesect,Genesect,Physical
429,Alolan Sandslash,Ledian,Alolan Sandslash,Physical
430,Bastiodon,Mudkip,Bastiodon,Special
431,Mega Pidgeot,Marshadow,Marshadow,Special
432,Shiftry,Pidgey,Shiftry,Physical
433,Butterfree,Kirlia,Butterfree,Physical
434,Nihilego,White Kyurem,White Kyurem,Physical
435,Omastar,Froslass,Froslass,Special
436,Meltan,Pyroar,Pyroar,Physical
437,Copperajah,Hippowdon,Hippowdon,Physical
438,Mamoswine,Mega Blaziken,Mega Blaziken,Physical
439,Cobalion,Minun,Cobalion,Physical
440,Binacle,Flabébé,Flabébé,Special
441,Mega Mewtwo Y,Combee,Mega Mewtwo Y,Physical
442,Torracat,Zoroark,Torracat,Physical
443,Eelektross,Crustle,Crustle,Physical
444,Toucannon,Blastoise,Blastoise,Physical
445,Spinarak,Greninja,Greninja,Physical
446,Magnezone,Ariados,Magnezone,Special
447,Nihilego,Doublade,Doublade,Physical
448,Phione,Solrock,Solrock,Physical
449,Lumineon,Electrike,Lumineon,Special
450,Swellow,Pikachu,Pikachu,Physical
451,Honchkrow,Pidove,Honchkrow,Physical
452,Snivy,Cufant,Snivy,Physical
453,Heat Rotom,Togekiss,Togekiss,Special
454,Alolan Dugtrio,Tyrogue,Alolan Dugtrio,Physical
455,Pansage,Gastly,Gastly,Physical
456,Roselia,Diancie,Diancie,Physical
457,Butterfree,Goldeen,Goldeen,Physical
458,Staraptor,Skuntank,Skuntank,Physical
459,Duosion,Vibrava,Duosion,Special
460,Shellos,Corvisquire,Shellos,Special
461,Heatmor,Alolan Rattata,Heatmor,Physical
462,Chingling,Chansey,Chansey,Physical
463,Walrein,Scrafty,Walrein,Physical
464,Aurorus,Chatot,Aurorus,Physical
465,Zebstrika,Mega Aerodactyl,Mega Aerodactyl,Physical
466,Teddiursa,Swalot,Swalot,Physical
467,Skuntank,Diggersby,Skuntank,Physical
468,Fearow,Stonjourner,Stonjourner,Physical
469,Alolan Rattata,Swadloon,Alolan Rattata,Physical
470,Nidorino,Beartic,Beartic,Physical
471,Azelf,Beautifly,Beautifly,Special
472,Sunkern,Alolan Raichu,Alolan Raichu,Special
473,Stufful,Prinplup,Stufful,Physical
474,Toxapex,Stunky,Toxapex,Physical
475,Vanillish,Zeraora,Zeraora,Physical
476,Sinistea,Registeel,Registeel,Physical
477,Blacephalon,Scyther,Blacephalon,Special
478,Corphish,Crustle,Crustle,Physical
479,Trumbeak,Gumshoos,Gumshoos,Physical
480,Aurorus,Own Tempo Rockruff,Aurorus,Special
481,Gible,Perrserker,Gible,Physical
482,Crabrawler,Snivy,Snivy,Physical
483,Alolan Exeggutor,Kabutops,Alolan Exeggutor,Physical
484,Alolan Dugtrio,Mega Metagross,Mega Metagross,Special
485,Pichu,Skitty,Skitty,Special
486,Blacephalon,Coalossal,Coalossal,Physical
487,Goodra,Marshadow,Goodra,Special
488,Mega Aerodactyl,Lanturn,Mega Aerodactyl,Physical
489,Deerling,Mega Alakazam,Mega Alakazam,Special
490,Magmortar,Buneary,Magmortar,Physical
491,Deino,Silicobra,Deino,Physical
492,Espurr,Bisharp,Bisharp,Physical
493,Cofagrigus,Alolan Raticate,Alolan Raticate,Physical
494,Whirlipede,Drifloon,Whirlipede,Physical
495,Decidueye,Pachirisu,Decidueye,Physical
496,Geodude,Panpour,Panpour,Special
497,Sandaconda,Mega Sceptile,Mega Sceptile,Physical
498,Shinx,Starly,Shinx,Physical
499,Galvantula,Vespiquen,Galvantula,Special
500,Caterpie,Barboach,Barboach,Physical
501,Larvitar,Buneary,Buneary,Physical
502,Mewtwo,Cufant,Mewtwo,Physical
503,Braviary,Kricketune,Braviary,Physical
504,Reshiram,Dratini,Reshiram,Physical
505,Duosion,Boltund,Boltund,Special
506,Dewott,Shroomish,Dewott,Physical
507,Honchkrow,Chikorita,Honchkrow,Special
508,Smoochum,Zarude,Zarude,Physical
509,Aromatisse,Dusclops,Aromatisse,Physical
510,Buizel,Frost Rotom,Buizel,Special
511,Skiploom,Mudbray,Skiploom,Physical
512,Graveler,Spinarak,Graveler,Physical
513,Bisharp,Kyogre,Kyogre,Special
514,Mareep,Mega Aerodactyl,Mega Aerodactyl,Physical
515,Tapu Koko,Zarude,Zarude,Special
516,Vileplume,Cleffa,Vileplume,Physical
517,Blastoise,Zapdos,Zapdos,Physical
518,Mega Diancie,Bouffalant,Mega Diancie,Physical
519,Kecleon,Jolteon,Kecleon,Physical
520,Dunsparce,Gulpin,Dunsparce,Special
521,Oshawott,Bouffalant,Bouffalant,Physical
522,Morgrem,Mega Metagross,Mega Metagross,Physical
523,Crabrawler,Palossand,Crabrawler,Physical
524,Pansage,Castform,Pansage,Physical
525,Salazzle,Solrock,Solrock,Special
526,Relicanth,Spheal,Relicanth,Physical
527,Seel,Grookey,Seel,Physical
528,Tsareena,Tsareena,Tsareena,Physical
529,Rhyperior,Magmar,Rhyperior,Physical
530,Omanyte,Mega Medicham,Mega Medicham,Physical
531,Wailmer,Yveltal,Yveltal,Special
532,Orbeetle,Raichu,Orbeetle,Physical
533,Rhyperior,Venomoth,Rhyperior,Physical
534,Shiftry,Lugia,Lugia,Special
535,Sylveon,Sharpedo,Sharpedo,Physical
536,Victreebel,Mudkip,Victreebel,Special
537,Magby,Sandile,Sandile,Physical
538,Spearow,Gloom,Gloom,Physical
539,Emboar,Greedent,Emboar,Physical
540,Hatterene,Tirtouga,Hatterene,Special
541,Galvantula,Mega Beedrill,Mega Beedrill,Physical
542,Aromatisse,Mega Audino,Aromatisse,Physical
543,Mega Medicham,Staravia,Staravia,Physical
544,Chansey,Meltan,Chansey,Physical
545,Tranquill,Tauros,Tauros,Special
546,Charmeleon,Wartortle,Wartortle,Physical
547,Exeggutor,Leafeon,Exeggutor,Physical
548,Uxie,Lickitung,Lickitung,Physical
549,Latios,Haxorus,Haxorus,Physical
550,Dedenne,Magneton,Magneton,Physical
551,Snorunt,Klefki,Klefki,Physical
552,Heliolisk,Kartana,Kartana,Physical
553,Mudsdale,Scyther,Mudsdale,Physical
554,Lucario,Metang,Metang,Physical
555,Nidorino,Espurr,Nidorino,Physical
556,Granbull,Lairon,Granbull,Physical
557,Alomomola,Bronzor,Alomomola,Special
558,Drilbur,Zeraora,Zeraora,Special
559,Sliggoo,Pidgeotto,Pidgeotto,Physical
560,Goodra,Deino,Goodra,Physical
561,Omanyte,Sewaddle,Sewaddle,Physical
562,Marowak,Comfey,Marowak,Physical
563,Primeape,Dugtrio,Primeape,Physical
564,Foongus,Lunatone,Lunatone,Physical
565,Gible,Corsola,Gible,Physical
566,Cramorant,Toxapex,Toxapex,Special
567,Rookidee,Woobat,Woobat,Special
568,Blipbug,Turtwig,Blipbug,Special
569,Wailmer,Cursola,Cursola,Physical
570,Floette,Tangela,Floette,Special
571,Bunnelby,Flygon,Flygon,Special
572,Alolan Sandslash,Tyrogue,Alolan Sandslash,Physical
573,Croagunk,Carbink,Carbink,Special
574,Goomy,Pinsir,Pinsir,Physical
575,Golurk,Piloswine,Golurk,Physical
576,Beartic,Wooloo,Beartic,Physical
577,Celesteela,Ferrothorn,Celesteela,Physical
578,Crustle,Mega Garchomp,Mega Garchomp,Physical
579,Silcoon,Flaaffy,Flaaffy,Special
580,Xurkitree,Mega Tyranitar,Xurkitree,Physical
581,Gurdurr,Gyarados,Gyarados,Physical
582,Ambipom,Shroomish,Ambipom,Physical
